internal_transfer_id,operation_type,transfer_reference,scheduled_date,effective_date,created_date,updated_date,back_order,source_document,transfer_state,source_location,destination_location,transfer_amount
2229,Receipts,WH/IN/05657,2020-12-08 04:08:20.000000,,2020-12-07 08:36:20.528097,2020-12-08 03:11:08.660206,,PO04515,cancel,Partner Locations/Vendors,WH/Input,
29,Goods Inwards Inspection,WH/GI/1,2020-07-02 23:19:25.000000,2020-11-11 00:55:05.000000,2020-07-05 23:59:53.191125,2020-11-11 00:55:05.628186,,PO04017,done,WH/Input,WH/Stock,
11643,Pick Components,WH/PC/01928,2022-08-26 04:18:33.000000,2022-08-28 23:49:09.000000,2022-08-26 04:20:15.012990,2022-09-08 00:57:15.358507,,MO/04722,done,WH/Stock,WH/WIP,
10543,Pick Components,WH/PC/01711,2022-06-08 04:22:44.000000,,2022-06-08 04:23:24.816172,2022-09-06 01:07:36.193764,,MO/04534,cancel,WH/Stock,WH/WIP,
11782,Pick Components,WH/PC/01977,2022-09-06 23:26:52.000000,2022-09-08 01:08:41.000000,2022-09-06 23:27:07.692032,2022-09-08 01:14:24.810273,,MO/04769,done,WH/Stock,WH/WIP,
47,Receipts,WH/IN/05008,2020-07-06 01:00:19.000000,2020-07-13 04:32:40.000000,2020-07-06 01:07:39.573485,2020-07-13 04:32:39.794339,,PO04030,done,Partner Locations/Vendors,WH/Input,
82,Store Finished Product,WH/SFP/00006,2020-07-06 06:59:03.000000,,2020-07-06 05:59:08.254903,2020-07-12 10:12:49.197740,,MO/03007,cancel,WH/Stock/Finished Goods,WH/Stock,
2,Pick Components,WH/PC/00001,2020-07-02 05:59:10.000000,2020-07-06 01:00:21.000000,2020-07-02 05:59:38.703432,2020-07-06 01:00:20.535152,,MO/03000,done,WH/Stock,WH/WIP,
3,Store Finished Product,WH/SFP/00001,2020-07-02 06:59:31.000000,,2020-07-02 05:59:38.703432,2020-07-10 05:40:06.597921,,MO/03000,cancel,WH/Stock/Finished Goods,WH/Stock,
4652,Receipts,WH/IN/06606,2021-06-01 05:13:42.000000,2021-05-26 21:55:59.000000,2021-04-26 06:44:45.221842,2021-05-26 21:55:58.365831,,PO05184,done,Partner Locations/Vendors,WH/Input,1600.0
9546,Receipts,WH/IN/09070,2022-03-18 00:58:46.000000,2022-04-19 04:26:27.000000,2022-03-03 02:09:10.159672,2022-04-19 04:26:26.388869,,PO07058,done,Partner Locations/Vendors,WH/Input,
265,Goods Inwards Inspection,WH/GI/69,2020-07-13 00:39:03.000000,2020-11-26 05:09:52.000000,2020-07-13 04:46:02.195301,2020-11-26 05:09:52.040481,,PO04066,done,WH/Input,WH/Stock,
55,Pick Components,WH/PC/00004,2020-07-06 01:55:38.000000,2020-07-06 04:28:19.000000,2020-07-06 02:31:11.541697,2020-07-07 02:01:59.634757,,MO/03005,done,WH/Stock,WH/WIP,
30,Pick Components,WH/PC/00002,2020-07-06 00:02:55.000000,2020-07-06 01:42:47.000000,2020-07-06 00:05:03.581899,2020-07-07 02:17:02.457757,,MO/03001,done,WH/Stock,WH/WIP,
11793,Pick Components,WH/PC/01979,2022-09-07 01:12:32.000000,2022-09-07 04:53:24.000000,2022-09-07 01:12:41.231948,2022-09-07 04:53:19.229662,,MO/04771,done,WH/Stock,WH/WIP,
11926,Receipts,WH/IN/10229,2022-09-19 00:26:10.000000,2022-09-19 03:34:27.000000,2022-09-19 03:08:09.544075,2022-09-19 03:34:27.163154,,PO07932,done,Partner Locations/Vendors,WH/Input,
63,Receipts,WH/IN/05013,2020-07-02 00:34:41.000000,2020-07-06 03:48:08.000000,2020-07-06 03:38:34.263756,2020-07-06 03:48:08.417499,,PO04003,done,Partner Locations/Vendors,WH/Input,
11913,Receipts,WH/IN/10222,2022-09-22 05:10:29.000000,2022-09-19 04:01:22.000000,2022-09-15 06:16:06.580278,2022-09-19 04:01:21.940296,,PO07938,done,Partner Locations/Vendors,WH/Input,
64,Goods Inwards Inspection,WH/GI/13,2020-07-02 00:34:41.000000,,2020-07-06 03:38:34.263756,2020-07-06 03:48:08.417499,,PO04003,assigned,WH/Input,WH/Stock,
