serial_num,bom_prod_id,bom_ref,bom_id,active,bom_line_id,product_id,product_qty,default_code
1006204-001,2867,RIG,33,True,108.0,3726.0,1.0,1005658-001
1006204-001,2867,RIG,33,True,129.0,2764.0,1.0,1004759-001
1006204-001,2867,RIG,33,True,109.0,3705.0,1.0,1006226-001
1006204-001,2867,RIG,33,True,130.0,3714.0,1.0,1006212-001
1006257-001,2868,RIG,96,True,1259.0,3463.0,1.0,1001673-001
1006257-001,2868,RIG,96,True,1280.0,3636.0,1.0,1006265-001
1002252-001,6020,001,6,True,41.0,2827.0,1.0,1001755-001
1002252-001,6020,001,6,True,42.0,3466.0,1.0,1002164-001
1004823-001,3594,RIG,29,True,63.0,3723.0,1.0,1004824-001
1004823-001,3594,RIG,29,True,64.0,3713.0,1.0,1004825-001
1004823-001,3594,RIG,29,True,65.0,3715.0,1.0,1004826-001
1004823-001,3594,RIG,29,True,66.0,3657.0,1.0,1004827-001
1004823-001,3594,RIG,29,True,67.0,3645.0,1.0,1004828-001
1004823-001,3594,RIG,29,True,68.0,3637.0,1.0,1004829-001
1004823-001,3594,RIG,29,True,69.0,3616.0,1.0,1004830-001
1004823-001,3594,RIG,29,True,70.0,3707.0,1.0,1004831-001
1004823-001,3594,RIG,29,True,71.0,3635.0,1.0,1004832-001
1004823-001,3594,RIG,29,True,72.0,3605.0,1.0,1004833-001
1006204-001,2867,RIG,33,True,131.0,3625.0,1.0,1006213-001
1006257-001,2868,RIG,96,True,1262.0,3675.0,1.0,1005509-001
1006204-001,2867,RIG,33,True,132.0,3626.0,1.0,1006214-001
1006204-001,2867,RIG,33,True,119.0,3614.0,1.0,1005515-001
1006257-001,2868,RIG,96,True,1263.0,3611.0,1.0,1005513-001
1006257-001,2868,RIG,96,True,1276.0,3615.0,1.0,1006262-001
1006204-001,2867,RIG,33,True,133.0,3591.0,1.0,1001568-001
1006257-001,2868,RIG,96,True,1265.0,3613.0,1.0,1006258-001
1006257-001,2868,RIG,96,True,1269.0,3591.0,1.0,1001568-001
1006204-001,2867,RIG,33,True,134.0,3603.0,3.0,1006215-001
1006257-001,2868,RIG,96,True,1266.0,3627.0,1.0,1006259-001
1006204-001,2867,RIG,33,True,135.0,3639.0,3.0,1005668-001
1006257-001,2868,RIG,96,True,1267.0,3813.0,1.0,1003859-002
1006204-001,2867,RIG,33,True,136.0,3602.0,1.0,1006216-001
1006257-001,2868,RIG,96,True,1273.0,3601.0,1.0,1006260-001
1006204-001,2867,RIG,33,True,137.0,3607.0,1.0,1006217-001
1006204-001,2867,RIG,33,True,138.0,3684.0,1.0,1005592-001
1006204-001,2867,RIG,33,True,139.0,3596.0,1.0,1006218-001
1006204-001,2867,RIG,33,True,120.0,3600.0,1.0,1005594-001
1006257-001,2868,RIG,96,True,1277.0,3677.0,1.0,1006207-001
1006204-001,2867,RIG,33,True,140.0,3598.0,1.0,1006219-001
1006204-001,2867,RIG,33,True,103.0,3609.0,1.0,1005599-001
1006204-001,2867,RIG,33,True,124.0,3610.0,1.0,1006209-001
1006204-001,2867,RIG,33,True,141.0,3605.0,1.0,1004833-001
1006204-001,2867,RIG,33,True,107.0,3644.0,1.0,1006225-001
1006204-001,2867,RIG,33,True,128.0,3621.0,1.0,1006211-001
1006257-001,2868,RIG,96,True,1261.0,3600.0,1.0,1005594-001
1006257-001,2868,RIG,96,True,1264.0,3621.0,1.0,1006211-001
1006204-001,2867,RIG,33,True,111.0,2937.0,1.0,1006200-001
1006204-001,2867,RIG,33,True,121.0,3675.0,1.0,1005509-001
1006204-001,2867,RIG,33,True,101.0,3732.0,1.0,1005688-001
1006204-001,2867,RIG,33,True,102.0,3712.0,3.0,1005661-001
1006204-001,2867,RIG,33,True,104.0,3717.0,1.0,1006222-001
1006204-001,2867,RIG,33,True,122.0,3685.0,1.0,1005508-001
1006204-001,2867,RIG,33,True,123.0,3686.0,2.0,1006208-001
1006204-001,2867,RIG,33,True,125.0,4201.0,1.0,1004861-001
1006204-001,2867,RIG,33,True,105.0,3729.0,3.0,1006223-001
1006204-001,2867,RIG,33,True,126.0,4190.0,1.0,1006210-001
1006204-001,2867,RIG,33,True,106.0,3702.0,3.0,1006224-001
1006204-001,2867,RIG,33,True,127.0,3611.0,1.0,1005513-001
1006257-001,2868,RIG,96,True,1268.0,2766.0,1.0,1004751-001
1006257-001,2868,RIG,96,True,1270.0,3598.0,1.0,1006219-001
1006204-001,2867,RIG,33,True,110.0,2827.0,1.0,1001755-001
1006257-001,2868,RIG,96,True,1271.0,3605.0,1.0,1004833-001
1006204-001,2867,RIG,33,True,112.0,3682.0,1.0,1006227-001
1006257-001,2868,RIG,96,True,1272.0,2941.0,1.0,1006074-001
1006204-001,2867,RIG,33,True,113.0,3676.0,1.0,1006228-001
1006257-001,2868,RIG,96,True,1274.0,3606.0,1.0,1006261-001
1006204-001,2867,RIG,33,True,114.0,3707.0,1.0,1004831-001
1006257-001,2868,RIG,96,True,1275.0,3647.0,1.0,1005605-001
1006204-001,2867,RIG,33,True,115.0,3604.0,1.0,1006229-001
