eco,description,stage,eco_on,effectivity_date,effectivity,create_date,last_updated_date
DA1790,To use 1005770-001-0000000115 (SH115) in LiFT for Veoneer,Closed,product,,asap,2021-03-15 22:43:08.765784,2022-05-19 06:04:56.393508
ECO1652, To Remove QCP and Spec Document from Internal LiDAR BoMs,Closed,product,,asap,2020-08-05 21:51:40.971366,2021-12-20 00:56:03.778909
ECO1720, Change MZI DAC values at laser calibration,Closed,product,,asap,2020-11-24 01:01:11.379149,2021-12-20 00:57:38.071118
ECO0278, Move the yaw position of T area in 2way IL,Closed,product,,asap,2020-06-26 03:07:56.681353,2021-05-07 08:37:36.833188
DA1904,Pass Prism 1 clamp into stock,Closed,product,,asap,2022-01-13 21:51:25.194539,2022-01-20 03:37:17.715374
ECO0282, Implementation of VCT,Closed,product,,asap,2020-06-26 03:08:08.446455,2022-05-13 01:00:35.316602
DA0740,To allow the use rev1 prism 2 brackets for Goku 5 builds,Closed,product,,asap,2020-06-26 03:36:29.033974,2022-05-19 06:40:20.930994
ECO0093, Upgrade of the F2A + IL rig,Closed,bom,,asap,2020-06-26 03:04:17.013815,2021-05-07 08:37:36.833188
DA0333,T): Angie Builds using untested Firmware,Refused,product,,asap,2020-06-26 03:11:10.282349,2021-05-07 08:37:36.833188
DA1874,Laser eye safety of the the Hyla 1 With VSM play tables,Closed,product,,asap,2021-08-23 22:57:48.677509,2021-10-20 20:10:52.635401
DA1873,"elease Spliced Electrical cables, 6m length for G6 SH Build",Refused,product,,asap,2021-08-23 22:42:56.107301,2021-10-20 20:10:45.471153
DA1813,To Ship SYS2018 (E397 SH78) to Frontier,Implementation,product,,asap,2021-04-21 00:14:15.730305,2022-06-24 00:43:42.887466
ECO1678, Change Eye Safety Spec According to GRR Result,Closed,product,,asap,2020-09-17 23:44:29.126320,2021-12-20 00:57:12.129002
DA1781,To Ship SYS2008 (E385+Sh75) to Frontier,Closed,product,,asap,2021-03-03 03:57:27.267093,2022-05-19 06:04:41.153644
ECO0096, Firmware to reduce the wobble and ghosting,Closed,bom,,asap,2020-06-26 03:04:23.023877,2021-05-07 08:37:36.833188
DA0239,Link Budget Below Specification - 2-Channel Diceros Engine,Refused,product,,asap,2020-06-26 03:05:55.495911,2021-05-07 08:37:36.833188
