name,title,create_date,assigned_date,close_date,last_updated_date,tags
QA00004,SH#14 not reporting the correct grating angle ,2020-06-26 05:01:28.845413,2018-05-17 23:44:55.000000,,2022-07-19 01:46:03.073526,Sensorhead;Hollow Motor
QA00005,EDFA Issues,2020-06-26 05:01:30.661755,,,2020-06-26 05:01:31.051324,Elec;EDFA
QA00006,Three Retech housing issues,2020-06-26 05:01:31.438486,,,2022-07-19 01:51:32.226229,Vendor
QA00007,Faraday Rotator Spots and scratch on surface,2020-06-26 05:01:33.514669,,,2020-06-26 05:01:33.901832,Optics;Vendor;Tolerance
QA00008,Sub Structure Dimensions Issues,2020-06-26 05:01:34.242607,2018-04-25 23:46:13.000000,,2020-06-26 05:01:34.616059,RK1;Tolerance;Mech
QA00009,Multiple Parts Process Issues,2020-06-26 05:01:34.994468,,,2022-07-19 01:51:51.854829,Vendor
QA00010,Lumentum Laser Low Power Output,2020-06-26 05:01:35.816141,2018-05-22 23:47:13.000000,,2020-06-26 05:01:36.260686,Top Assembly;Output Power
QA00011,Grating bracket too tight,2020-06-26 05:01:36.617598,,,2020-06-26 05:01:36.985812,RK1;Optics
QA00014,Link Budget 0 EDFA,2020-06-26 05:01:37.460567,,,2022-07-19 01:52:39.407765,Engine;EDFA;Link Budget
QA00015,Lense edges cut wrong won't fit in clamp,2020-06-26 05:01:38.186247,,,2022-07-19 01:52:44.768355,Vendor;Optics
QA00016,Fusion splicer is not splicing properly,2020-06-26 05:01:38.969280,,,2022-07-19 01:53:05.837980,Work Centre
QA00017,Sub_Structure_Dimension_Cracked_Lens,2020-06-26 05:01:39.679117,,,2022-07-19 01:53:17.194394,Mech;Tolerance
QA00018,Oil from Substructure on grating,2020-06-26 05:01:40.528285,2018-06-06 23:48:19.000000,,2022-07-19 01:53:30.103827,Contamination;Optics;Directivity
QA00019,QA00019_[ITL]_[1001508-001]_EYDFA cable shorter than 50mm,2020-06-26 05:01:41.233454,,,2020-06-26 05:01:41.610482,EDFA;Elec;Tolerance
QA00020,Loss of communication Board #56,2020-06-26 05:01:42.045064,2018-06-11 23:50:46.000000,,2020-06-26 05:01:42.486614,RK2;Elec;Comm
QA00022,Encoder_Ring_Tooth_Issue,2020-06-26 05:01:42.841801,2018-06-15 23:52:41.000000,,2020-06-26 05:01:43.228446,Hollow Motor
QA00023,Retroreflectors Failed Glue Joint,2020-06-26 05:01:43.529938,2018-07-10 23:53:50.000000,,2020-06-26 05:01:43.902663,Vendor;RK1;Sensorhead
QA00024,Prism_Angle_Wrong_Direction,2020-06-26 05:01:44.236945,2018-06-13 23:55:27.000000,,2020-06-26 05:01:45.265873,Vendor;Mech;Optics
QA00025,"M3 screw hole bigger
",2020-06-26 05:01:45.570595,2018-06-15 04:02:03.000000,,2020-06-26 05:01:46.326165,Tolerance;EDFA
QA00026,Retroreflector/substructure interface tolerances results in cracked retroreflector,2020-06-26 05:01:46.652103,,,2020-06-26 05:01:46.930610,Optics;Tolerance;Mech
QA00027,sunlight causes wobble/motor stall/encoder errors resulting in corrupted pointcloud or error,2020-06-26 05:01:47.240091,2018-06-16 03:34:08.000000,,2020-06-26 05:01:47.514634,Hollow Motor;Elec;Sensorhead
QA00028,NIO Noise Issue with Lidar,2020-06-26 05:01:47.925408,2018-06-18 04:51:40.000000,,2020-06-26 05:01:50.870169,RK3;Pointcloud;Pointcloud Noise
QA00029,PCBA SMT Issues,2020-06-26 05:01:51.264991,2018-06-19 03:29:34.000000,,2020-06-26 05:01:51.706081,RK1;Elec
QA00030,Magnet ring scratch PCB issue,2020-06-26 05:01:52.033326,2018-06-28 23:57:27.000000,,2020-06-26 05:01:52.403066,Reliability;Hollow Motor
QA00031,Cleanliness of Fiber Ends,2020-06-26 05:01:52.756421,2018-06-20 03:55:36.000000,,2020-06-26 05:01:53.130652,Misc;RK1
QA00040,Magnets won't fit into holes,2020-06-26 05:01:53.531267,2018-06-21 23:58:43.000000,,2020-06-26 05:01:53.910740,Purchasing;Tolerance;Hollow Motor
QA00041,Cable Faulty,2020-06-26 05:01:54.182017,2018-06-28 23:59:41.000000,,2020-06-26 05:01:54.457168,Elec
QA00042,No Part number engraved,2020-06-26 05:01:54.813445,2018-06-26 03:50:01.000000,,2020-06-26 05:01:55.104075,Misc
QA00046,Expected Grade Index Fibre actual Step Index fiber,2020-06-26 05:01:55.533220,2018-06-28 09:24:02.000000,,2020-06-26 05:01:55.815320,Vendor;Optics;RK1
QA00047,Burnt regulator during motor test,2020-06-26 05:01:56.170801,2018-07-02 01:13:49.000000,,2020-06-26 05:01:56.501158,Hollow Motor;Elec
QA00053,Can't assemble coaxial core into substructure,2020-06-26 05:01:56.917532,2018-07-02 23:56:59.000000,,2020-06-26 05:01:57.300578,Vendor;Optics;Transceiver
