work_order,lot,work_center,mo_id,real_duration,status,qc_fail,product_type,date_finished,week,year,month,prod_name,prod_number
[ABC-0004] APD Calibration - Angeros 2CH,1003895-000-0000000328,[WC-E060] APD Calibration Rig,MO/03008,511.31000000000006,done,,Engine,2020-07-07 22:00:49.820607,28.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[CL-0002] Code Load - Angeros 2CH,1003895-000-0000000328,[WC-E010] Engine Code Load Rig,MO/03008,0.28,done,,Engine,2020-07-07 00:45:32.205413,28.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[CL-0002] Code Load - Angeros 2CH,1003895-000-0000000328,[WC-E010] Engine Code Load Rig,MO/03006,0.45,done,,Engine,2020-07-06 04:16:57.865075,28.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[EFT-0007] Engine Final Test - Angeros 2CH,1003895-000-0000000328,[WC-E080] Engine Performance Rig,MO/03008,2790.4900000000002,done,Yes,Engine,2020-07-14 01:35:45.856347,29.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Assembly - Angeros 2CH,1003895-000-0000000328,[WC-E070] Engine Assembly Station,MO/03008,56.45,done,,Engine,2020-07-07 23:13:00.311940,28.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Top Assembly - Angeros 2CH,1003895-000-0000000328,[WC-E020] Top Engine Assembly Station,MO/03006,2.8,done,,Engine,2020-07-06 04:20:05.450338,28.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Top Assembly - Angeros 2CH,1003895-000-0000000328,[WC-E020] Top Engine Assembly Station,MO/03008,1.99,done,,Engine,2020-07-07 00:47:38.028323,28.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0007] Laser Spectrum after EDFA - Angeros 2CH,1003895-000-0000000328,[WC-E080] Engine Performance Rig,MO/03008,217.44,done,,Engine,2020-07-08 04:47:24.537167,28.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0010] SMSR Laser - Angeros 2CH,1003895-000-0000000328,[WC-E030] Laser Calibration Rig,MO/03008,1.03,done,,Engine,2020-07-07 00:50:00.627787,28.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[LC-0003] Laser Calibration - Angeros 2CH,1003895-000-0000000328,[WC-E030] Laser Calibration Rig,MO/03008,1.19,done,,Engine,2020-07-07 00:48:53.885440,28.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[MZT-0004] MZ Tuning - Angeros 2CH,1003895-000-0000000328,[WC-E080] Engine Performance Rig,MO/03008,197.29,done,,Engine,2020-07-08 02:29:18.306650,28.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[SSM-0001] Engine Signal Strength - Angeros 2CH,1003895-000-0000000328,[WC-E080] Engine Performance Rig,MO/03008,111.06,done,,Engine,2020-07-08 05:45:06.330934,28.0,2020.0,July     ,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ABC-0004] APD Calibration - Angeros 2CH,1003895-000-0000000317,[WC-E060] APD Calibration Rig,MO/03126,85.41000000000001,done,,Engine,2020-09-14 05:21:35.791987,38.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[CL-0002] Code Load - Angeros 2CH,1003895-000-0000000317,[WC-E010] Engine Code Load Rig,MO/03126,12.07,done,,Engine,2020-09-09 03:48:58.840752,37.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[EFT-0007] Engine Final Test - Angeros 2CH,1003895-000-0000000317,[WC-E080] Engine Performance Rig,MO/03126,0.8,done,,Engine,2020-09-16 22:28:55.265941,38.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Assembly - Angeros 2CH,1003895-000-0000000317,[WC-E070] Engine Assembly Station,MO/03126,100.28999999999999,done,,Engine,2020-09-15 02:04:58.169902,38.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
Engine Top Assembly - Angeros 2CH,1003895-000-0000000317,[WC-E020] Top Engine Assembly Station,MO/03126,0.68,done,,Engine,2020-09-09 03:49:49.030344,37.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0007] Laser Spectrum after EDFA - Angeros 2CH,1003895-000-0000000317,[WC-E080] Engine Performance Rig,MO/03126,1.86,done,Yes,Engine,2020-09-16 22:27:30.414516,38.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0007] Laser Spectrum After EDFA - EFT2,1003895-000-0000000317,[WC-E090] Engine Performance Rig,MO/03126,4.34,done,,Engine,2020-09-16 22:25:18.945081,38.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
[ESM-0010] SMSR Laser - Angeros 2CH,1003895-000-0000000317,[WC-E030] Laser Calibration Rig,MO/03126,0.4,done,Yes,Engine,2020-09-14 03:39:53.213215,38.0,2020.0,September,ASY:ENG:BLU:ANGEROS:2CH,1003895-000
