po_id,po_reference,order_date,contractual_date,updated_date,scheduled_date,due_date,total_amount,taxed_amount,untaxed_amount,paid_amount,unpaid_amount,paid_amount_aud,currency_rate,currency,payment,po_status,vendor_reference,expense_type,receipt_count,vendor_name,requested_by,created_by,updated_by,department,received,payment_terms,purchasetype
462,PO04461,2020-11-27 03:00:40.000000,2020-11-27 03:00:40.000000,2022-02-11 10:59:38.447029,2020-12-07 03:03:28.000000,2020-12-07,41.46,3.77,37.69,41.46,0.0,41.46,AUD,1.0,Paid,purchase,Buy Online,non_capital,0,Bunnings Group Limited,Andrew Bligh,Jamie Ball,OdooBot,R008 - Engineering - Mechanical,yes,0.0,Not Specified
1970,PO05969,2021-09-09 01:00:55.000000,2021-10-09 01:00:55.000000,2022-02-11 10:59:38.447029,2021-09-09 01:20:22.000000,2021-10-09,8383.65,0.0,8383.65,8383.65,0.0,8383.65,AUD,1.0,Paid,purchase,,non_capital,0,Digi-Key Electronics,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Expense
2574,PO06573,2021-11-30 22:38:12.000000,2021-12-30 22:38:12.000000,2022-02-11 10:59:38.447029,2021-12-16 22:38:33.000000,2022-01-15,126.5,11.5,115.0,126.5,0.0,126.5,AUD,1.0,Paid,purchase,,non_capital,0,Warren & Brown Technologies (AKA Warren Brown Tools),Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Expense
556,PO04555,2020-12-15 03:28:16.000000,2020-12-15 03:28:16.000000,2022-02-11 10:59:38.447029,2021-01-29 03:30:21.000000,2021-01-29,2750.0,250.0,2500.0,2750.0,0.0,2750.0,AUD,1.0,Paid,purchase,,non_capital,0,Terry Mann,Jamie Ball,Jamie Ball,OdooBot,A010 - Marketing,yes,0.0,Not Specified
824,PO04823,2021-02-10 02:17:57.000000,2021-02-10 02:17:57.000000,2022-02-11 10:59:38.447029,2021-02-10 02:18:17.000000,2021-02-10,0.0,0.0,0.0,,0.0,,AUD,,Paid,purchase,,non_capital,0,3D Markforge Printing (Internal),Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,,Not Specified
972,PO04971,2021-03-09 23:27:39.000000,2021-03-09 23:27:39.000000,2022-02-11 10:59:38.447029,2021-04-13 00:38:16.000000,2021-04-13,10.72,0.0,10.72,10.72,0.0,10.72,AUD,1.0,Paid,purchase,Buy online,non_capital,0,Amazon (Online for PO's),Harry Dudley-Bestow,Jamie Ball,OdooBot,R002 - Technology Development,yes,0.0,Not Specified
2770,PO06769,2022-01-04 23:19:45.000000,2022-02-03 23:19:45.000000,2022-03-09 00:28:44.032862,2022-01-25 23:19:45.000000,2022-02-24,1512.0,0.0,1512.0,1512.0,0.0,1512.0,USD,1.0,Paid,done,,,0,Acktar Ltd,Michael Chang,Michael Chang,Anna Bui,C002 - Supply Chain,yes,30.0,Inventor
378,PO04377,2020-11-02 02:28:41.000000,2020-12-02 02:28:41.000000,2022-02-11 10:59:38.447029,2020-12-04 02:36:05.000000,2021-01-03,4454.0,0.0,4454.0,4454.0,0.0,4454.0,USD,1.0,Paid,purchase,,non_capital,0,Grand Venture Technology,Michael Chang,Michael Chang,OdooBot,C002 - Supply Chain,yes,30.0,Not Specified
2737,PO06736,2021-12-22 22:59:02.000000,2021-12-22 22:59:02.000000,2022-02-23 00:44:07.312131,2022-01-26 23:05:00.000000,2022-01-26,1414.8,126.8,1288.0,1416.8,-2.0,1416.8,AUD,1.0,Paid,purchase,,capital,0,igus (Treotham Automation),Jake Hilder,Jamie Ball,Anna Bui,R008 - Engineering - Mechanical,yes,0.0,Expense
2297,PO06296,2021-10-25 02:39:37.000000,2021-10-25 02:39:37.000000,2022-02-11 10:59:38.447029,2021-11-01 02:39:37.000000,2021-11-01,290.4,26.4,264.0,290.4,0.0,290.4,AUD,1.0,Paid,purchase,Buy online,non_capital,0,Star Hygiene,Jamie Ball,Jamie Ball,OdooBot,A016 - People and Culture,yes,,Expense
