name,default_code,name,delay,min_qty,date_start,date_end,id
Retech Precision Mould Limited,1001476-001,ENG:CASE:AL:BLUE:DICEROS:BOOT_CLAMP_CABLE,21,1.0,,,3403
Thorlabs Inc,1001711-001,MIR:FS:SILVER:PROTECTED:50.8MMx50.8MM,14,1.0,,,3529
Retech Precision Mould Limited,1001470-002,ENG:ADAPT:PU:GREY:DICEROSGA:BOOT_CABLE,21,1.0,,,3388
Retech Precision Mould Limited,1002326-001,RIG:PART:ALU:10-001-03-01:ABSORBER_SIDE_PANEL,14,1.0,,,3746
Mektronics Australia Pty Ltd,1005510-001,RIG:CMP:MEC:MATTING:ESD:0.6M,0,1.0,,,3665
Element14 Pty Ltd,1004830-001,RIG:CMP:ELC:MODULE:POWER_ENTRY,1,0.0,,,3616
"DICON FIBEROPTICS, INC (double up)",1005595-001,RIG:CMP:OPT:MODULE:DPE:1CH,0,1.0,,,3719
RS Components Pty Ltd,1005685-001,RIG:CMP:ELC:POWER_SUPPLY:DC:5V,0,1.0,,,3632
Thorlabs Inc,1005608-001,RIG:CMP:MEC:BREADBOARD:200MMX250MM:M6,0,1.0,,,3648
RS Components Pty Ltd,1005668-001,RIG:CMP:ELC:TERMINATOR:BNC:50OHM,0,1.0,,,3639
4Cabling Pty Ltd,1005592-001,RIG:CMP:MEC:POWER_RAIL:HORIZONTAL:12WAY,0,1.0,,,3684
RS Components Pty Ltd,1006228-001,RIG:CMP:MEC:MOUNT:PANEL:USB:2PORT:FEMALE,1,0.0,,,3676
RS Components Pty Ltd,1006262-001,RIG:CMP:ELC:METER:SOUND:NDM1354,1,0.0,,,3615
LASTEK Pty. Ltd.,23004,Import duties and Customs,0,0.0,,,8811
EUROPEAN STANDARDS,29002,R&D Veoneer,0,0.0,,,8810
ERNTEC Pty Ltd,1001228-001,MOTOR:BRUSHLESS:ERNTEC:BX4,1,1.0,,,5645
K-One Manufacturing Sdn Bhd,1003775-001,CMP:MEC:SIL:ORING:4MM:1.2MM,14,0.0,,,3068
Lapp Australia Pty Ltd,1002121-001,CON:CMP:MEC:GOKU:CONDUIT:RILL:M12,14,1.0,,,3138
Micro Fasteners Pty Ltd,1001682-001,SCREW:HEX:CAP:ISO_4762:ZP:M5:30MM,14,1.0,,,3773
Element14 Pty Ltd,1001754-001,HS:20.0MM:1-4:BLACK:ADH,7,1.0,,,3495
Industrial-man Technology Development Co Ltd,1003744-001,SEN:ADP:INV:GOKU:CRYSTAL_TUBE,21,0.0,,,3804
"DJ MODEL & TOOLING CO.,LIMITED",1007020-003,CMP:MEC:ENCODER:TCUT_ENCODER_WHEEL_374 (copy),28,100.0,,,8246
"DJ MODEL & TOOLING CO.,LIMITED",1007020-003,CMP:MEC:ENCODER:TCUT_ENCODER_WHEEL_374 (copy),28,50.0,,,8246
"DJ MODEL & TOOLING CO.,LIMITED",1007020-003,CMP:MEC:ENCODER:TCUT_ENCODER_WHEEL_374 (copy),21,20.0,,,8246
NextPCB,1007020-003,CMP:MEC:ENCODER:TCUT_ENCODER_WHEEL_374 (copy),0,0.0,,,8246
"DJ MODEL & TOOLING CO.,LIMITED",1007020-003,CMP:MEC:ENCODER:TCUT_ENCODER_WHEEL_374 (copy),21,10.0,,,8246
Retech Precision Mould Limited,1001514-007, SENS:ADAPT:BLUE:GOKU:FRONT_HOUSING,28,30.0,,,2727
Retech Precision Mould Limited,1001183-001,SEN:CMP:MEC:PEEK:COAXIAL:COMPRESSION:SCREW,1,1.0,,,3927
Lapp Australia Pty Ltd,1002126-001,CON:SYS:ADAPT:BLACK:PLASTIC:CONDUIT:RILL_PA_6:M20,14,1.0,,,3168
